x,y
5.936461310153047179e+02,2.938819008473273016e+02
6.855591845967881000e+02,2.327759749866439449e+02
6.266660955288007244e+02,2.526303892260220891e+02
5.920313414149650271e+02,2.400401473812654558e+02
6.658805356092699412e+02,2.622586741288929488e+02
5.734314781622020973e+02,2.614507848398654914e+02
5.554310872285675487e+02,2.729212664960048187e+02
5.760379511384433044e+02,2.117985817186638826e+02
5.987306200219981065e+02,2.198068628643014222e+02
6.046158085151826072e+02,2.060338363727783246e+02
6.077752196203571202e+02,2.240135814820238238e+02
5.813158242727687366e+02,2.316260128179412447e+02
6.720564138111640204e+02,2.370619446000091273e+02
5.268375191180581396e+02,2.548257961360433228e+02
6.282746350237781598e+02,2.382635181149178436e+02
5.323504158461528277e+02,2.097070588863974478e+02
5.322993997923822462e+02,2.562441612883198445e+02
5.372788051384868595e+02,2.421726973129165685e+02
6.165771776748281354e+02,1.846179466880778079e+02
5.923771666104139513e+02,2.685834750102716839e+02
5.503075788683827341e+02,2.870672528227977978e+02
6.248475857445171187e+02,1.983265512217548974e+02
5.868545015731845069e+02,2.321628739235994487e+02
5.558534783969139426e+02,2.065255780938077805e+02
6.109863168050508193e+02,2.615091860962633632e+02
6.262983453655036783e+02,2.996498513092774374e+02
6.031886747719698860e+02,2.781203994221287985e+02
5.881594472280113450e+02,2.425425663034783383e+02
5.438499123286704844e+02,2.291534902214507383e+02
7.242366013684321615e+02,1.338292839631711217e+02
6.931151778264710401e+02,1.804760850831200401e+02
5.821545943919129513e+02,3.323228008921767582e+02
5.394839123886284824e+02,2.505791905593769968e+02
5.467722356112747093e+02,3.220056713793069321e+02
6.963838019694335344e+02,2.392162479855641095e+02
6.512841736517698337e+02,2.386345462850375725e+02
5.826950816103676516e+02,2.150233517663089629e+02
5.641115524176907456e+02,2.486569560417692060e+02
5.643217270839049888e+02,1.919877224810646226e+02
6.164928196850444237e+02,3.184406203288217512e+02
5.254603349767801319e+02,2.827718227195841223e+02
5.750510735180336042e+02,2.613567625977355533e+02
7.309816548638368658e+02,2.428985794419553770e+02
7.106656096211542035e+02,2.741178980115498689e+02
5.789596493898426388e+02,2.973034620745352186e+02
5.849514856366063213e+02,3.515360414754992462e+02
5.304553749700907019e+02,2.184641170154065719e+02
5.419148139752524003e+02,2.322949108320268863e+02
7.563012782875773610e+02,2.291926066648321410e+02
7.495049843385745589e+02,2.028374004772499291e+02
6.616608353121029040e+02,3.081340029741818398e+02
6.714893437003064491e+02,1.966606643056630332e+02
6.460412555235388936e+02,1.937601741357207175e+02
6.133404093501999341e+02,3.226214134913553266e+02
5.846361497650998444e+02,3.163527608489945919e+02
